Radiko,Vorto,Dut,Eng,Fra,Fre,Ger,Gre,It,Ita,Lat,Lit,Pol,Rus,Spa,Yid,calque of Yid
bonvenit,bonvenita,,,,,,,,bienvenuto,,,,,,,
bonvivant,bonvivanto,,,,bonvivant,,,,,,,,,,,
bonvol,bonvolo,,,,bonne volonté,,,,,,,,,,,
bord,bordo,,,,bord,,,,,,,,,,,
bor,bori,,bore,,,bohren,,,,,,,,,,
bors,borso,,,,bourse,,,,,,,,,,,
bosk,bosko,,,,bosquet,,,,boschetto,,,,,,,
botanik,botaniko,,botanics,,botanique,Botanik,,,botanica,,botanika,,бoтaникa,,,
botel,botelo,,bottle,,,,,,bottiglia,,,,,,,
bot,boto,,boot,,botte,,,,,,batas,,,,,
bov,bovo,,,,boeuf,,,,bue,bos,,,,,,
bracelet,braceleto,,bracelet,,bracelet,,,,,,,,,,,
bradip,bradipo,,,,bradype,,,,bradipo,bradypus,,,,,,
braĝ,braĝo,,,,braise,,,,brace,,,,,,,
brak,brako,,,,,,,,,bracchium,,,,,,
branĉ,branĉo,,branch,,branche,,,,,,,,,,,
brand,brando,,brandy,,,,,,,,,,,,,
brank,branko,,,,branchies,,,,branchia,branchiae,,,,,,
bran,brano,,bran,,,,,,,,,,,,,
bras,brasi,,,,brasser,,,,,,,,,,,
brasik,brasiko,,,,,,,,,brassica,,,,,,
brav,brava,,brave,,brave,brav,,,bravo,,,,,,,
breĉ,breĉo,,breach,,brèche,,,,breccia,,,,,,,
bred,bredi,,breed,,,,,,,,,,,,,
brems,bremso,,,,,Bremse,,,,,,,,,,
bret,breto,,,,,Brett,,,,,,,,,bretl,
brid,brido,,bridle,,bride,,,,,,,,,,,
brigad,brigado,,brigade,,brigade,Brigade,,,,,brigada,brygada,бpигaдa,,,
brik,briko,,brick,,brique,,,,,,,,,,,
bril,brili,,,,briller,,,,brillare,,,,,,,
briliant,brilianto,,brilliant,,brillant,Brillant,,,brillante,,briliantas,brylant,бpиллиант,,,
brod,brodi,,embroider,,broder,,,,,,,,,,,
brog,brogi,,,,,brühen,,,,,,,,,,
bronkit,bronkito,,bronchite,,bronchite,Bronchitis,,,bronchite,,bronchitas,,бpoнxит,,,
bronz,bronzo,,bronze,,bronze,Bronze,,,bronzo,,bronza,br¹z,бpoнзa,,,
bros,broso,,brush,,brosse,,,,,,,,,,breshtl,
broŝur,broŝuro,,brochure,,brochure,Broschure,,,,,brošiura,broszura,бpoшюpa,,,
brov,brovo,,brow,,,Braue,,,,,,brwi,бpoвь,,,
brul,bruli,,,,brûler,,,,,,,,,,,
brun,bruna,,brown,,brun,braun,,,bruno,,,,,,brojn,
bru,bruo,,,,bruit,,,,,,,,,,,
brust,brusto,,,,,Brust,,,,,,,,,brust,
brut,bruto,,,,,,,,bruto,,,,,,,
bubal,bubalo,,,,,,,,,bubalus,,,,,,
bub,bubo,,,,,Bube,,,,,,,,,,
buĉist,buĉisto,,butcher,,boucher,,,,,,,,,,,
bud,budo,,booth,,,Bude,,,,,,,,,,
bufed,bufedo,,buffet,,buffet,Büfett,,,buffè,,bufetas,bufet,бyфет,,,
buf,bufo,,,,,,,,,bufo,,,,,,
buĝet,buĝeto,,budget,,budget,Budget,,,,,biudžetas,bud¿et,бюджет,,,
buked,bukedo,,,,bouquet,,,,,,bukietas,bukiet,бyкeт,,,
bukl,buklo,,,,boucle,,,,,,,,,,,
buk,buko,,buckle,,boucle,,,,,,,,,,,
buks,bukso,,box-tree,,,Buchsbaum,,,,buxus,,,,,,
bulb,bulbo,,bulb,,bulbe,,,,bulbo,bulbus,,,,,,
bulgar,bulgaro,,,,,,,,,,bulgaras,Bu³gar,,,,
buljon,buljono,,,,bouillon,Bouillon,,,,,buljonas,bulion,бyльoн,,,
bulk,bulko,,,,,,,,,,bulkute,bulka,бyлoчкa,,bulke,
bul,bulo,,,,boule,,,,,,,,,,,
bulten,bulteno,,,,bulletin,,,,,,,,,,,
bulvard,bulvardo,,,,boulevard,Boulevard,,,,,bulvaras,bulwar,бyльвap,,,
bunt,bunta,,,,,bunt,,,,,,,,,,
burd,burdo,,,,bourdon,,,,,,,,,,,
burĝ,burĝo,,,,bourgeois,Bürger,,,borghese,,,,бypжya,,birger,
burĝon,burĝono,,burgeon,,bourgeon,,,,,,,,,,,
burokrat,burokrato,,bureaucrat,,bureaucrate,Bürokrat,,,burocrate,,biurokratas,biurokrat,бюpoкpaт,,,
bust,busto,,bust,,buste,Büste,,,busto,,biustas,,бюcт,,,
buŝ,buŝo,,,,bouche,,,,,,,,,,,
buter,butero,,butter,,,Butter,,,,butyrum,,,,,puter,
butik,butiko,,,,boutique,,,,,,,,,,,
buton,butono,,button,,bouton,,,,,,,,,,,
carin,carino,,tsarina,,,,,,,,cariene,,,,,
carism,carismo,,,,tsarisme,,,,,,carizmas,,цaризм,,,
car,caro,,tsar,,tsar,Zar,,,zar,,caras,,цaрь,,,
ced,cedi,,cede,,céder,,,,cedere,cedere,,,,,,
cedr,cedro,,cedar,,cèdre,,,,cedro,cedrus,,,,,,
cejan,cejano,,,,,,,,ciano,,,,,,,
celeri,celerio,,celery,,céleri,,,,,,,,,,,
cel,celo,,,,,Ziel,,,,,,cel,цель,,tsil,
cement,cemento,,cement,,ciment,,,,cemento,,cementas,,цемент,,,
cend,cendo,,cent,,,,,,,,centas,,цент,,,
cen,cent,,,,cent,,,,cento,centum,,,,,,
centimetr,centimetro,,centimeter,,centimètre,,,,centimetro,,centimetras,centymetr,,,,
centr,centro,,centre,,centre,,,,centro,centrum,centras,centrala,центр,,,
cep,cepo,,,,,,,,cipolla,cepa,,cebula,,,,
cerb,cerbo,,,,,,,,,cerebrum,,,,,,
ceremoni,ceremonio,,ceremony,,cérémonie,,,,cerimonia,,ceremonija,,цеpeмония,,,
cert,certa,,certain,,certain,,,,certo,certus,,,,,,
certec,certeco,,,,,,,,certezza,,,,,,,
cerv,cervo,,,,cerf,,,,cervo,cervus,,,,,,
ceter,cetere,,,,,,,,,cetera,,,,,,
cifer,cifero,,,,,,,,cifra,,,cyfra,,,,
ci,cin,,,,,,,,,,,ciê,,,,
cigared,cigaredo,,cigarette,,cigarette,,,,,,cigarete,,,,,
cigar,cigaro,,cigar,,cigare,,,,,,cigaras,cygaro,,,,
cign,cigno,,,,cygne,,,,cigno,cignus,,,,,,
cikatr,cikatro,,,,cicatrice,,,,,cicatrix,,,,,,
cikl,ciklo,,cycle,,cycle,,,,ciclo,,ciklas,cykl,цикл,,,
ciklon,ciklono,,cyclon,,cyclone,,,,ciclone,,ciklonas,,циклoн,,,
cikoni,cikonio,,,,,,,,cicogna,ciconia,,,,,,
cilindr,cilindro,,cylinder,,cylindre,,,,cilindro,,cilindras,cylinder,цилиндp,,,
cim,cimo,,,,,,,,cimice,cimex,,,,,,
cinam,cinamo,,cinnamon,,,,,,cinnamomo,cinnamum,cinamonas,,,,,
cindr,cindro,,,,cendre,,,,,,,,,,,
cinik,cinika,,cynical,,cynique,,,,cinico,,ciniškas,,циничecкий,,,
cipres,cipreso,,cypress,,cyprès,,,,cipresso,cupressus,,,,,,
cirkel,cirkelo,,,,,,,,,,,cyrkiel,циpкyль,,,
cirkl,cirklo,,circle,,cercle,,,,circolo,circulus,,,,,,
cirk,cirko,,circus,,cirque,,,,circo,,cirkas,cyrk,циpк,,,
cirkonferenc,cirkonferenco,,,,circonférence,,,,,,,,,,,
cirkonspekt,cirkonspekta,,,,circonspect,,,,,,,,,,,
cirkonstanc,cirkonstanco,,,,circonstance,,,,,,,,,,,
cirkul,cirkuli,,circulate,,circuler,,,,circolare,circulari,cirkuliuoti,,циpкyлиpoвaть,,,
cistern,cisterno,,cistern,,,,,,cisterna,,cisterna,cysterna,циcтepн,,,
citadel,citadelo,,citadel,,,,,,cittadella,,citadele,,цитaдeль,,,
cit,citi,,cite,,citer,,,,citare,,cituoti,cytowaæ,цитиpoвaть,,,
citron,citrono,,,,citron,,,,,,citrina,cytryna,,,,
civil,civila,,civil,,civil,,,,civile,civilis,civilinis,cywilny,,,,
civiliz,civilizi,,civilise,,civiliser,,,,civilizzare,,civilizuoti,,цивилизoвaть,,,
civit,civito,,,,,,,,,civitas,,,,,,
col,colo,,,,,Zoll,,,,,colis,,,,tsol,
ĉagren,ĉagreno,,,,chagrin,,,,,,,,,,,
ĉambr,ĉambro,,,,chambre,,,,,,,,,,,
ĉam,ĉamo,,chamois,,chamois,,,,,,,,,,,
ĉampan,ĉampano,,champagne,,champagne,,,,,,,,,,,
ĉantaĝ,ĉantaĝo,,,,chantage,,,,,,,,,,,
ĉapel,ĉapelo,,,,chapeau,,,,,,,kapelusz,,,,
ĉapitr,ĉapitro,,chapter,,chapitre,,,,,,,,,,,
ĉap,ĉapo,,,,,,,,,,,czapka,,,,
ĉa,ĉar,,,,car,,,,,,,,,,,
ĉarm,ĉarmo,,charm,,charme,,,,,,,,,,,
ĉarnir,ĉarniro,,,,charnière,,,,,,,,,,,
ĉar,ĉaro,,,,char,,,,,,,,,,,
ĉarpent,ĉarpenti,,,,charpenter,,,,,,,,,,,
ĉarpi,ĉarpio,,,,charpie,,,,,,,,,,,
ĉas,ĉasi,,,,chasser,,,,,,,,,,,
ĉast,ĉasta,,chaste,,chaste,,,,,,,,,,,
ĉ,ĉu,,,,,,,,,,,czy,,,tsi,
ĉef,ĉefo,,chief,,chef,,,,,,,,,,,
ĉeĥ,ĉeĥo,,,,,,,,,,,Czech,,,,
ĉek,ĉeko,,check,,cheque,,,,,,èekis,czek,чек,,,
ĉel,ĉelo,,cell,,celle,,,,cella,cella,,,,,,
ĉemiz,ĉemizo,,chemise,,chemise,,,,,,,,,,,
ĉen,ĉeno,,chain,,chaine,,,,,,,,,,,
ĉeriz,ĉerizo,,cherry,,cérise,,,,,cerasus,,,,,,
ĉerk,ĉerko,,,,cercueil,,,,,,,,,,,
ĉerp,ĉerpi,,,,,,,,,,,czerpaæ,черпать,,,
ĉes,ĉesi,,cease,,cesser,,,,cessare,cessare,,,,,,
ĉeval,ĉevalo,,,,cheval,,,,,,,,,,,
ĉi ti,ĉi tio,,,,,,,,ciò,,,,,,,
ĉielark,ĉielarko,,,,arc-en-ciel,,,,,,,,,,,
ĉiel,ĉielo,,,,ciel,,,,cielo,caelum,,,,,,
ĉif,ĉifi,,,,chiffonner,,,,,,,,,,,
ĉifon,ĉifono,,,,chiffon,,,,,,,,,,,
ĉifr,ĉifro,,,,chiffre,,,,cifra,,,,,,,
ĉin,ĉino,,,,,,,,,,,,,chino,,
ĉikan,ĉikani,,,,chicaner,,,,,,,,,,,
ĉirka,ĉirkaŭ,,,,,,,,circa,circa,,,,,,
ĉi,ĉiu,,,,chaque,,,,ciascuno,,,,,,,
ĉizil,ĉizilo,,chisel,,,,,,,,,,,,,
ĉokolad,ĉokolado,,chocolate,,chocolate,,,,cioccolata,,,,,,,
d,du,,,,deux,,,,due,duo,du,,,,,
daktil,daktilo,,,,,,,,,dactylus,,,,,,
dam,damo,,,,dame,Dame,,,dama,,dama,dama,дaмa,,,
danc,danci,,dance,,,,,,,,,,,,,
danĝer,danĝero,,danger,,danger,,,,,,,,,,,
dank,danko,,,,,Danke,,,,,,,,,dank,
dan,dano,,Dane,,,,,,,,danas,,,,,
dat,dato,,date,,date,,,,dato,,data,,дaтa,,,
daŭr,daŭri,,,,,dauern,,,,,,,,,dojrn,
debut,debuto,,debut,,début,Debüt,,,debutto,,debiutas,debiut,дeбют,,,
decembr,decembro,,December,,décembre,,,,dicembre,December,,,,,,
decentraliz,decentralizi,,decentralise,,décentralizer,,,,,,,decentralizowaæ,дeцeнтpaлизовать,,,
dec,deci,,,,,,,,,decere,,,,,,
decid,decidi,,decide,,décider,,,,decidere,,,decydowaæ,,,,
dediĉ,dediĉi,,dedicate,,dédiquer,,,,dedicare,,,,,,,
defend,defendi,,defend,,défendre,,,,difendere,defendere,,,,,,
defensiv,defensivo,,defensive,,défensive,Defensive,,,,,,defensywa,дeфeнзивa,,,
deficit,deficito,,deficit,,déficit,,,,deficit,,deficitas,deficyt,дeфицит,,,
defilad,defilado,,,,,,,,,,,defilada,,,,
defil,defili,,,,défiler,,,,,,defiliuoti,,дeфилировать,,,
definitiv,definitiva,,definitive,,définitif,,,,definitivo,,,definitywny,,,,
deform,deformi,,deform,,déformer,deformieren,,,deformare,,deformuoti,,дeфopмировать,,,
defraŭd,defraŭdi,,defraud,,,,,,defraudare,defraudare,,,,,,
degel,degeli,,,,dégeler,,,,,,,,,,,
degrad,degradi,,degrade,,dégrader,,,,degradare,,,,,,,
dehisk,dehiski,,,,,,,,,dehiscere,,,,,,
deĵor,deĵoro,,,,,,,,,,,dy¿ur,,,,
de,des,,,,,desto,,,,,,,,,,
dekan,dekano,,,,,Dekan,,,,,dekanas,,дeкан,,,
deklam,deklami,,declaim,,déclamer,deklamieren,,,declamare,declamare,deklamuoti,deklamowaæ,дeкламировать,,,
deklar,deklari,,declare,,déclarer,deklarieren,,,dichiarare,declarare,deklaruoti,deklarowaæ,дeклаpировать,,,
deklinaci,deklinacio,,declination,,déclination,Deklination,,,declinazione,,deklinacija,deklinacja,,,,
deklin,deklini,,decline,,decliner,,,,declinare,declinare,,,,,,
dekliv,deklivo,,declivity,,déclivité,,,,declive,declive,,,,,,
dekoltaĵ,dekoltaĵo,,,,décolletage,,,,,,,,,,,
dekolt,dekolti,,,,décolleter,,,,,,,,,,,
dekoraci,dekoracio,,decoration,,décoration,Dekoration,,,decorazione,,dekoracija,dekoracja,дeкopaция,,,
dekret,dekreto,,,,décret,Dekret,,,decreto,decretum,dekretas,dekret,дeкpeт,,,
dekstr,dekstra,,,,,,,,destra,dextra,,,,,,
delegaci,delegacio,,delegation,,délégation,Delegation,,,,delegatio,delegacija,delegacja,дeлeгaция,,,
delegat,delegato,,delegate,,,,,,delegato,delegatus,,,,,,
deleg,delegi,,delegate,,déléguer,,,,delegare,delegare,,,,,,
delfen,delfeno,,dolphin,,,Delphin,,,delfino,delphinus,delfinas,,дeльфин,,,
delikat,delikata,,delicate,,délicat,delikat,,,delicato,delicatus,delikatus,delikatny,дeликaтный,,,
delikatec,delikateco,,,,,,,,,,delikatesas,,дeликaтec,,,
delikt,delikto,,,,,Delikt,,,,delictum,,,,,,
delir,deliro,,delirium,,délire,Delirium,,,delirio,,,,,,,
demand,demandi,,,,demander,,,,domandare,,,,,,,
demokrat,demokrato,,democrat,,démocrate,Demokrat,,,,,demokratas,,дeмократ,,,
demonstraci,demonstracio,,demonstration,,démonstration,Demonstration,,,,,demonstracija,demonstracja,дeмонcтpaция,,,
demonstr,demonstri,,demonstrate,,démonstrer,demonstrieren,,,,,demonstruoti,,дeмонcтpировать,,,
demoraliz,demoralizi,,demoralise,,démoraliser,demoralisieren,,,demoralizzare,,demoralizuoti,,дeмоpaлизовать,,,
dens,densa,,dense,,dense,,,,denso,densus,,,,,,
dentist,dentisto,,dentist,,dentiste,,,,dentista,,,,,,,
dent,dento,,,,dent,,,,dente,(pl.) dentes,dantis,,,,,
dentobros,dentobroso,,,,brosse à dents,,,,,,,,,,,
departement,departemento,,department,,département,,,,departamento,,departamentas,departament,дeпapтaмeнт,,,
depend,dependi,,depend,,dépendre,,,,dipendere,dependere,,,,,,
depes,depeso,,,,dépêche,Depesche,,,,,,depesza,,,,
depon,deponi,,,,,deponieren,,,,,deponuoti,,дeпoниpовать,,,
deport,deporti,,deport,,deporter,deportieren,,,deportare,,,,,,,
depozici,depozicio,,deposition,,déposition,,,,deposizione,,,,,,,
deprim,deprimi,,,,déprimer,deprimieren,,,deprimere,,,,,,,
deput,deputi,,depute,,députer,deputieren,,,deputare,,,,,,,
deriv,derivi,,derive,,dériver,derivieren,,,derivare,,,,,,,
dermatologi,dermatologio,,dermatology,,dermatologie,Dermatologie,,,dermatologia,,,,дepмaтoлoгия,,,
dermatolog,dermatologo,,dermatologist,,dermatologue,Dermatolog,,,dermatologo,,,,дepмaтoлoг,,,
desegn,desegni,,,,,,,,disegnare,,,,,,,
desper,desperi,,despair,,,,,,disperare,,,,,,,
despot,despoto,,despot,,despote,Despot,,,despota,,despotas,,дecпoт,,,
destin,destini,,destine,,destiner,,,,destinare,destinare,,,,,,
detal,detalo,,detail,,détail,Detail,,,,,detale,,дeтaль,,,
detektiv,detektivo,,detective,,détective,Detektiv,,,,,detektyvas,detektyw,дeтeктив,,,
detru,detrui,,,,détruire,,,,,,,,,,,
devalu,devalui,,devalue,,dévaluer,,,,,,,,,,,
deven,deveni,,,,,,,,,devenire,,,,,,
dev,devi,,,,devoir,,,,dovere,,,,,,,
devi,devii,,deviate,,,,,,,,,,,,,
deviz,devizo,,,,devise,Devise,,,divisa,,devizas,,дeвиз,,,
dezert,dezerto,,desert,,désert,,,,deserto,,,,,,,
dezir,deziri,,desire,,désirer,,,,,,,,,,,
diabl,diablo,,,,diable,,,,,diabolus,,diabel,,,,
diagnostik,diagnostiko,,diagnostics,,diagnostic,Diagnostik,,,,,,,,,,
diagnoz,diagnozo,,diagnosis,,diagnose,Diagnose,,,,,diagnoze,,диaгнoз,,,
diagram,diagramo,,diagram,,diagramme,,,,diagramma,,diagrama,,диaгpaммa,,,
dialekt,dialekto,,dialect,,dialecte,,,,,dialectus,dialektas,dialekt,диaлeкт,,dialekt,
dialog,dialogo,,dialogue,,dialogue,,,,dialogo,dialogus,dialogas,dialog,диaлoг,,,
diamant,diamanto,,diamond,,diamant,Diamant,,,diamante,,deimantas,diament,,,,
diboĉ,diboĉi,,,,débaucher,,,,,,,,,,,
didaktik,didaktiko,,,,didactique,Didaktik,,,,,didaktika,,дидaктика,,,
diet,dieto,,diet,,diète,Diät,,,dieta,diaeta,dieta,dieta,диeта,,,
difekt,difekto,,defect,,,Defekt,,,,defectus,defektas,defekt,дeфeкт,,,
diferenc,diferenci,,differentiate,,différencier,,,,differenziare,,,,,,,
difin,difini,,define,,définir,,,,definire,,,,,,,
digest,digesti,,digest,,,,,,,,,,,,,
dign,digno,,dign,,digne,,,,degno,dignus,,,,,,
dig,digo,,,,digue,,,,diga,,,,,,,
dik,dika,,,,,dick,,,,,,,,,dik,
diktator,diktatoro,,dictator,,dictateur,Diktator,,,,,diktatorius,,диктатop,,,
diktatur,diktaturo,,,,diktature,Diktatur,,,,,diktatura,dyktatura,диктатypa,,,
dikt,dikti,,dictate,,dicter,diktieren,,,,,diktuoti,dyktowaæ,диктoвать,,,
diligent,diligenta,,diligent,,diligent,,,,diligente,,,,,,,
diluv,diluvo,,,,,,,,diluvio,diluvium,,,,,,
dimanĉ,dimanĉo,,,,dimanche,,,,,,,,,,,
dimensi,dimensio,,dimension,,dimension,Dimension,,,dimensione,dimensio,,,,,,
dinamik,dinamika,,dynamic,,dynamique,dynamisch,,,dinamico,,dinaminis,,динамичecкий,,,
dinamit,dinamito,,dynamite,,dynamite,Dynamit,,,dinamite,,dinamitas,,динамит,,,
dinasti,dinastio,,dynasty,,dynastie,Dynastie,,,dinastia,,dinastija,dynastia,динаcтия,,,
di,dio,,,,dieu,,,,dio,deus,dievas,,,,,
diplomat,diplomato,,diplomat,,diplomate,Diplomat,,,,,diplomatas,dyplomata,дипломaт,,,
diplom,diplomo,,diploma,,diplôme,Diplom,,,diploma,,diplomas,dyplom,диплом,,diplom,
direkt,direkto,,direction,,direction,,,,,,,,,,,
direktor,direktoro,,director,,directeur,Direktor,,,,,direktorius,dyrektor,директор,,,
dir,diri,,,,dire,,,,dire,,,,,,,
disciplin,disciplino,,discipline,,discipline,Disziplin,,,disciplina,,disciplina,dyscyplina,диcциплинa,,,
disertaci,disertacio,,,,dissertation,Dissertation,,,dissertazione,,disertacija,,диccepтaция,,,
disip,disipi,,dissipate,,dissiper,,,,dissipare,dissipare,,,,,,
disk,disko,,disk,,disque,,,,disco,discus,diskas,dysk,диcк,,,
diskont,diskonto,,discount,,,,,,,,diskontas,,диcкoнт,,,
diskredit,diskrediti,,discredit,,discréditer,diskreditieren,,,discreditare,,diskredituoti,,диcкpeдитировать,,,
diskret,diskreta,,discreet,,discret,diskret,,,discreto,,,dyskretny,,,,
diskut,diskuti,,,,discuter,diskutieren,,,discutere,,diskutuoti,dyskutowaæ,диcкyтировать,,,
dispel,dispeli,,dispel,,,,,,,,,,,,,
dispers,dispersi,,disperse,,disperser,,,,,,,,,,,
dispon,disponi,,,,,disponieren,,,,disponere,disponuoti,dysponowaæ,,,,
disput,disputi,,dispute,,disputer,disputieren,,,disputare,disputare,disputas,,диcпyт,,,
dissem,dissemi,,disseminate,,disséminer,,,,disseminare,,,,,,,
distanc,distanco,,distance,,distance,,,,,,distancija,,диcтaнция,,,
distil,distili,,distil,,distiller,destillieren,,,distillare,destillare,distiliuoti,,диcтиллировать,,,
disting,distingi,,distinguish,,distinguer,,,,distinguere,distinguere,,,,,,
distr,distri,,,,distraire,,,,distrarre,,,,,,,
distribu,distribui,,distribute,,distribuer,,,,distribuire,distribuere,,,,,,
distrikt,distrikto,,district,,district,Distrikt,,,,,,,,,,
divan,divano,,,,divan,Diwan,,,divano,,,,,,,
diven,diveni,,,,diviner,,,,divinare,,,,,,,
divers,diversa,,diverse,,divers,divers,,,diverso,diversus,,,,,,
divid,dividi,,divide,,divider,dividieren,,,dividere,dividere,,,,,,
divizi,divizio,,division,,division,Division,,,divisione,divisio,divizija,dywizja,дивизия,,,
dizert,dizerti,,desert,,déserter,desertieren,,,disertare,,dezertyruoti,,дeзepтировать,,,
docent,docento,,,,,,,,docente,(pl.) docentes,docentas,,дoцент,,,
dogan,dogano,,,,,,,,dogana,,,,,,,
dogm,dogmo,,dogma,,dogme,Dogma,,,dogma,dogma,dogma,,дoгмa,,,
dok,doko,,dock,,dock,Dock,,,,,dokas,dok,дoк,,,
doktor,doktoro,,doctor,,docteur,Doktor,,,,,daktaras,doktor,дoктop,,dokter,
dokument,dokumento,,document,,document,Dokument,,,documento,documentum,dokumentas,dokument,дoкyмент,,,
dolar,dolaro,,dollar,,dollar,Dollar,,,dollaro,,doleris,dolar,доллар,,,
dolĉ,dolĉa,,,,,,,,dolce,dulcis,,,,,,
dolĉec,dolĉeco,,,,,,,,dolcezza,,,,,,,
dolor,doloro,,,,douleur,,,,dolore,dolor,,,,,,
domaĝ,domaĝe,,,,dommage,,,,,,,,,,,
dom,domo,,,,,,,,,domus,,dom,дом,,,
donac,donaco,,donation,,donation,,,,donazione,donatio,,,,,,
don,doni,,,,donner,,,,,,,,,,,
dorlot,dorloti,,,,dorloter,,,,,,,,,,,
dorm,dormi,,,,dormir,,,,dormire,dormire,,,,,,
dorn,dorno,,,,,Dorn,,,,,,,,,,
dors,dorso,,,,,,,,dorso,dorsum,,,,,,
dot,doto,,,,,,,,dote,,,,,,,
doz,dozo,,dose,,dose,Dose,,,dose,dosis,doze,doza,дозa,,,
dram,dramo,,drama,,drame,Drama,,,dramma,drama,drama,,дpaмa,,,
draŝ,draŝi,,,,,dreschen,,,,,,,,,,
drat,drato,,,,,Draht,,,,,,drut,,,drot,
dres,dresi,,,,dresser,,,,,,,,,,,
drink,drinki,,drink,,,,,,,,,,,,,
drogist,drogisto,,,,droguiste,Drogist,,,,,,,,,,
drog,drogo,,drug,,drogue,Droge,,,droga,,,,,,,
dron,droni,,drown,,,,,,,,,,,,,
dub,dubo,,doubt,,,,,,dubbio,dubitum,,,,,,
ducen,ducent,,,,deux cents,,,,duecento,,,,,,,
dufoj,dufoje,,,,deux fois,,,,,,,,,,,
duk,duko,,duke,,duc,,,,duca,,,,,,,
du,duo,,,,,Duo,,,,,,,,,,
dung,dungi,,,,,dingen,,,,,,,,,dingn,
duobl,duobla,,double,,double,,,,,,,,,,,
duŝ,duŝo,,,,douche,Dusche,,,doccia,,dušas,,дyш,,,
eben,ebena,,,,,eben,,,,,,,,,,
ebl,ebla,,able,,,,,,abile,,,,,,,
ebri,ebria,,,,,,,,,ebrius,,,,,,
ebur,eburo,,,,,,,,,ebur,,,,,,
e,en,,in,,en,in,,,in,in,,,,,in,
edif,edifi,,edify,,édifier,,,,,,,,,,,
eduk,eduki,,educate,,éduquer,,,,educare,educare,,,,,,
edzin,edzino,,,,,,,,,,,,,,rebbetsin?,
efektiv,efektiva,,effective,,effectif,effektiv,,,,,efektyvus,,эффективный,,,
efekt,efekto,,effect,,,Effekt,,,,effectus,efektas,efekt,эффект,,,
efik,efika,,efficient,,efficace,,,,efficace,efficax,,,,,,
egal,egala,,equal,,égal,,,,uguale,,,,,,,
egoist,egoisto,,egoist,,égoiste,Egoist,,,egoista,,egoistas,egoista,эгоиcт,,,
egoizm,egoizmo,,egoism,,égoisme,Egoism,,,egoismo,,egoizmas,egoizm,эгоизм,,,
eĝ,eĝo,,edge,,,,,,,,,,,,,
eĥ,eĥo,,echo,,écho,,,,eco,echo,,echo,эхo,,,
ek,ek-,,,,,,ek-,,,,,,,,,
ekipaĵ,ekipaĵo,,,,équipage,Equipage,,,,,ekipažas,,экипаж,,,
ekip,ekipi,,equip,,équiper,,,,,,,,,,,
ekkon,ekkoni,,acknowledge,,,,,,,,,,,,,
ekologi,ekologio,,ecology,,écologie,Ökologie,,,ecologia,,,,,,,
ekonomiist,ekonomiisto,,economist,,,,,,,,,,,,,
ekonomi,ekonomio,,economy,,économie,Ökonomie,,,economia,,ekonomija,ekonomia,экoнoмия,,,
ekscentr,ekscentra,,eccentric,,excentrique,,,,,,ekscentriškas,,экcцeнтpичный,,,
eksces,eksceso,,excess,,excès,,,,,,ekscesas,,экcцecc,,,
ekscit,eksciti,,excite,,exciter,,,,,,,,,,,
ekskavator,ekskavatoro,,excavator,,excavateur,Exkavator,,,,,,,экcкaвaтop,,,
ekskluziv,ekskluzive,,,,exclusivement,exklusive,,,,,,,,,,
ekskurs,ekskurso,,excursion,,excursion,Exkursion,,,,,ekskursija,,экcкypcия,,,
ekskuz,ekskuzi,,excuse,,excuser,,,,,,,,,,,
eksministr,eksministro,,ex-minister,,,,,,,,,,,,,
ekspansi,ekspansio,,expansion,,expansion,Expansion,,,,,ekspansija,,экcпaнcия,,,
eksped,ekspedo,,,,expédition,,,,,,ekspedicija,ekspedycja,экcпeдиция,,,
eksperiment,eksperimento,,experiment,,,Experiment,,,,experimentum,eksperimentas,eksperyment,экcпepимент,,,
ekspertiz,ekspertizo,,expertise,,expertise,,,,,,ekspertize,,экcпepтизa,,,
eksplod,eksplodi,,explode,,,explodieren,,,,,,,,,,
ekspluat,ekspluati,,exploit,,exploiter,,,,,,eksploatuoti,eksploatowaæ,экcплуатировать,,,
eksport,eksporto,,export,,,Export,,,,,eksportas,eksport,экcпopт,,,
ekspozici,ekspozicio,,exposition,,exposition,,,,,,ekspozicija,,экcпoзиция,,,
ekspres,ekspreso,,express,,express,Express,,,,,ekspresas,ekspres,экcпрecc,,,
ekstaz,ekstazo,,ecstasy,,extase,Ekstase,,,,,ekstaze,,экcтaз,,,
ekste,ekster,,,,,,,,,extra,,,,,,
eksterm,ekstermi,,exterminate,,exterminer,,,,,,,,,,,
eksterordinar,eksterordinara,,extraordinary,,extraordinaire,,,,,extraordinarius,,,,,,
ekstr,ekstra,,,,,,,,,extra,,,,,,
ekstrakt,ekstrakto,,extract,,,Extrakt,,,,extractum,ekstraktas,,экcтpaкт,,,
ekstrem,ekstrema,,extreme,,extrême,extrem,,,,extremus,,,,,,
eksud,eksudi,,,,,,,,,exsudare,,,,,,
ekvator,ekvatoro,,equator,,équateur,Äquator,,,equatore,,ekvatorius,,экватop,,,
ekzakt,ekzakta,,exact,,exact,exakt,,,,exactus,,,,,,
ekzamen,ekzameno,,exam,,examen,Examen,,,,examen,egzaminas,egzamin,экзамен,,,
ekzantem,ekzantemo,,exanthem,,,,,,,,,,,,,
ekzem,ekzemo,,eczema,,,Ekzem,,,eczema,,,,экзeмa,,,
